ativo;consultora_id;cor;created_at;icone;id;nome;ordem;tipo;updated_at
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#6366f1;2025-12-10 20:10:11.070906+00;Tag;9629b2fd-5757-4496-9da2-2b4957b57be4;Saúde Geral;122;avaliacao;2025-12-10 20:10:11.070906+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#14b8a6;2025-12-10 20:09:24.001471+00;Tag;e2752f03-70e5-4b82-9a0a-7ac556843cd9;Insegurança Laboral;121;avaliacao;2025-12-10 21:30:41.304239+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#14b8a6;2025-12-10 19:27:15.831359+00;Tag;24680c26-2fc9-4385-bff9-d51ec8de0818;Conflitos Laborais;109;avaliacao;2025-12-10 21:30:29.590462+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#14b8a6;2025-12-10 20:13:00.543447+00;Tag;aed095ed-77dc-475c-9902-6343d64cb575;Conflito trabalho/ família;123;avaliacao;2025-12-10 21:30:49.275096+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ef4444;2025-12-10 20:43:43.134318+00;Tag;8196eb2c-55fb-4a04-a280-c7765ade2dbc;Stress;126;avaliacao;2025-12-10 21:30:55.403945+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ef4444;2025-12-10 20:41:53.533111+00;Tag;92992ec1-671d-4bb6-81c3-4b2be8402698;Burnout;125;avaliacao;2025-12-10 21:31:04.331119+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#14b8a6;2025-12-10 20:45:17.425186+00;Tag;76122a27-7586-4dbb-8356-32c755757be7;Sintomas depressivos;127;avaliacao;2025-12-10 21:31:23.773556+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#14b8a6;2025-12-10 20:47:49.914755+00;Tag;7556a1a7-85cd-49a5-a414-12dd80a2f28b;Comportamentos ofensivos ;128;avaliacao;2025-12-10 21:31:30.213447+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#14b8a6;2025-12-10 20:18:44.94523+00;Tag;f7c5266d-c763-4a94-8137-34a44a346a8e;Problemas em dormir;124;avaliacao;2025-12-10 21:31:35.110414+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 19:32:15.584998+00;Tag;988579d6-49b2-458e-8d04-c8b45f026491;Apoio social de superiores;111;avaliacao;2025-12-10 21:32:09.874896+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 19:53:34.751698+00;Tag;6f86ee7c-e3f2-4563-8b8d-f9873a740c50;Confiança vertical;115;avaliacao;2025-12-10 21:32:19.066739+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 20:05:52.330937+00;Tag;96b3d1ab-139c-42f6-bd27-d1a7462fa105;Satisfação no trabalho;120;avaliacao;2025-12-10 21:32:29.456706+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 19:42:45.988334+00;Tag;9db4cb5b-e606-4554-8b47-68071293d229;Confiança horizontal;114;avaliacao;2025-12-10 21:32:33.896157+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 19:55:50.668263+00;Tag;715cc90e-4509-4930-8d44-d6d557752cbe;Justiça e respeito;116;avaliacao;2025-12-10 21:32:37.978607+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 14:57:40.735338+00;Tag;665af6c3-63ea-4315-9e08-ef00ee75e0b6;Transparência do papel laboral desempenhado;107;avaliacao;2025-12-10 21:32:55.320661+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#f59e0b;2025-12-09 15:12:59.79617+00;Tag;0dd86e6a-71ce-4898-81e6-7cc8b2e34877;Exigências Quantitativas;100;avaliacao;2025-12-10 21:33:45.438707+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#ec4899;2025-12-10 19:30:05.877248+00;Tag;cb4f64c3-919b-442f-9f36-fcfc8cdd2bc9;Apoio social de colegas;110;avaliacao;2025-12-10 21:34:30.387001+00
true;f2a5b9f7-815e-487a-adf6-72ff0e4064dd;#f59e0b;2026-03-16 15:44:29.41339+00;Tag;b9270bf5-5c7e-4cef-93c5-aaa5be489866;Palestra;100;evento;2026-03-16 15:44:29.41339+00
